"regon14","nip","nazwa","woj","pow","gmi","miej","ul","nr","lok","miej_naz","ul_naz"
"47229145700000","7751236416","POWIATOWY URZĄD PRACY W ŁĘCZYCY","10","04","011","0969250","19834","31","","Łęczyca","ul. Henryka Sienkiewicza"
"47229783300000","7282312256","POWIATOWY URZĄD PRACY ŁÓDŹ-WSCHÓD","10","61","069","0958453","03458","40/52","","Łódź","ul. Częstochowska"
"47229783300024","7282312256","POWIATOWY URZĄD PRACY ŁÓDŹ-WSCHÓD","10","06","074","0967831","02247","36","","Koluszki","ul. Brzezińska"
"47229785600000","7751071398","POWIATOWY URZĄD PRACY W KUTNIE","10","02","011","0969103","35421","11","","Kutno","ul. Kardynała Stefana Wyszyńskiego"
"47234958200000","7272490364","WOJEWÓDZKI URZĄD PRACY W ŁODZI","10","61","049","0958269","24797","49","","Łódź","ul. Wólczańska"
"47234958200024","7272490364","WOJEWÓDZKI URZĄD PRACY W ŁODZI CENTRUM INFORMACJI I PLANOWANIA KARIERY ZAWODOWEJ","10","62","011","0967430","20997","4","","Piotrków Trybunalski","ul. Starowarszawska"
"47234958200031","7272490364","WOJEWÓDZKI URZĄD PRACY W ŁODZI CENTRUM INFORMACJI I PLANOWANIA KARIERY ZAWODOWEJ","10","63","011","0976942","07029","28","","Skierniewice","ul. Jagiellońska"
"47234958200049","7272490364","WOJEWÓDZKI URZĄD PRACY W ŁODZI CENTRUM INFORMACJI I PLANOWANIA KARIERY ZAWODOWEJ","10","14","011","0976050","24628","73","","Sieradz","ul. Wojska Polskiego"
"49003840200000","7341025938","WOJEWÓDZKI URZĄD PRACY W KRAKOWIE FILIA W NOWYM SĄCZU","12","62","011","0959435","23923","146","","Nowy Sącz","ul. Węgierska"
"49199646000000","7371810429","POWIATOWY URZĄD PRACY","12","07","011","0960510","12355","9","","Limanowa","ul. Józefa Marka"
"49199653600000","7352278100","POWIATOWY URZĄD PRACY","12","11","011","0961538","22073","14","","Nowy Targ","ul. Szpitalna"
"49199878800000","7361062612","POWIATOWY URZĄD PRACY W ZAKOPANEM","12","17","011","0963773","21230","14","","Zakopane","ul. ks. Józefa Stolarczyka"
"49199944000000","7381839541","POWIATOWY URZĄD PRACY","12","05","011","0959903","12694","18","","Gorlice","ul. Józefa Michalusa"
"49202507100000","7341024270","SĄDECKI URZĄD PRACY","12","62","011","0959435","26081","55","","Nowy Sącz","ul. Zielona"
"51092816700000","7441528952","POWIATOWY URZĄD PRACY W IŁAWIE","28","07","011","0964650","11926","8 B","","Iława","ul. 1 Maja"
